point_id,survey_location,latitude,longitude,elevation_z_meters,slope_gradient_deg,curvature_index,rock_joint_dip_deg
DEM-001,Kalijhora Cut-Slope (Sikkim),26.934519,88.463056,626.13,51.8,-0.51,61.1
DEM-002,Kalijhora Cut-Slope (Sikkim),26.934812,88.467446,507.8,45.2,-0.2,44.0
DEM-003,Kalijhora Cut-Slope (Sikkim),26.939569,88.464523,517.84,30.4,0.74,59.3
DEM-004,Kalijhora Cut-Slope (Sikkim),26.939045,88.465265,541.15,42.7,-1.04,52.5
DEM-005,Kalijhora Cut-Slope (Sikkim),26.936498,88.471435,559.49,36.0,1.23,56.7
DEM-006,Kalijhora Cut-Slope (Sikkim),26.934892,88.4701,562.67,36.1,0.38,44.5
DEM-007,Kalijhora Cut-Slope (Sikkim),26.933854,88.466387,482.03,33.7,-0.95,40.9
DEM-008,Kalijhora Cut-Slope (Sikkim),26.94292,88.467953,648.15,44.1,-0.84,46.7
DEM-009,Kalijhora Cut-Slope (Sikkim),26.934233,88.46737,649.35,38.0,-0.26,46.4
DEM-010,Kalijhora Cut-Slope (Sikkim),26.939007,88.467349,596.27,37.3,-1.18,59.6
DEM-011,Kalijhora Cut-Slope (Sikkim),26.942396,88.472282,532.26,54.0,0.83,61.9
DEM-012,Kalijhora Cut-Slope (Sikkim),26.936481,88.468097,556.84,46.1,0.14,57.0
DEM-013,Kalijhora Cut-Slope (Sikkim),26.941616,88.468166,575.27,30.4,0.01,49.7
DEM-014,Kalijhora Cut-Slope (Sikkim),26.940823,88.46719,553.35,38.2,0.38,58.9
DEM-015,Kalijhora Cut-Slope (Sikkim),26.933532,88.470529,587.12,41.5,-0.63,57.9
DEM-016,Kalijhora Cut-Slope (Sikkim),26.933968,88.465045,602.5,32.8,0.75,47.1
DEM-017,Kalijhora Cut-Slope (Sikkim),26.93929,88.471361,525.53,36.9,0.65,64.9
DEM-018,Kalijhora Cut-Slope (Sikkim),26.94002,88.469051,515.15,43.4,1.4,54.7
DEM-019,Kalijhora Cut-Slope (Sikkim),26.939283,88.468179,624.47,51.5,-1.04,41.8
DEM-020,Kalijhora Cut-Slope (Sikkim),26.941205,88.466103,565.61,33.3,0.55,59.8
DEM-021,Kalijhora Cut-Slope (Sikkim),26.940489,88.465661,611.66,36.5,0.4,48.5
DEM-022,Kalijhora Cut-Slope (Sikkim),26.939374,88.463926,556.76,52.6,0.0,55.5
DEM-023,Kalijhora Cut-Slope (Sikkim),26.941724,88.46564,620.36,52.2,1.12,43.7
DEM-024,Kalijhora Cut-Slope (Sikkim),26.938806,88.470773,613.37,28.7,-0.23,40.9
DEM-025,Kalijhora Cut-Slope (Sikkim),26.937761,88.468634,597.75,31.6,-1.1,55.9
DEM-026,Kalijhora Cut-Slope (Sikkim),26.936502,88.468514,523.12,38.9,-1.1,60.6
DEM-027,Kalijhora Cut-Slope (Sikkim),26.936154,88.470937,634.79,49.7,-0.56,58.8
DEM-028,Kalijhora Cut-Slope (Sikkim),26.935834,88.470928,601.16,32.5,0.98,47.1
DEM-029,Kalijhora Cut-Slope (Sikkim),26.942521,88.472305,569.94,37.4,0.26,49.8
DEM-030,Kalijhora Cut-Slope (Sikkim),26.93408,88.465284,583.48,29.3,0.86,53.9
DEM-031,Kalijhora Cut-Slope (Sikkim),26.941874,88.464465,558.07,28.6,0.78,53.2
DEM-032,Kalijhora Cut-Slope (Sikkim),26.937128,88.467889,505.16,39.5,-0.15,57.8
DEM-033,Kalijhora Cut-Slope (Sikkim),26.941185,88.472089,542.38,37.5,0.08,50.4
DEM-034,Kalijhora Cut-Slope (Sikkim),26.939954,88.472468,568.03,44.7,1.74,62.6
DEM-035,Kalijhora Cut-Slope (Sikkim),26.940894,88.470606,519.19,32.0,-1.09,55.2
DEM-036,Kalijhora Cut-Slope (Sikkim),26.941432,88.466016,577.06,44.1,-0.68,64.3
DEM-037,Kalijhora Cut-Slope (Sikkim),26.942108,88.469773,571.51,44.3,0.56,61.1
DEM-038,Kalijhora Cut-Slope (Sikkim),26.933918,88.470446,511.28,51.8,-0.65,55.0
DEM-039,Kalijhora Cut-Slope (Sikkim),26.93977,88.464018,523.64,30.4,-0.42,58.3
DEM-040,Kalijhora Cut-Slope (Sikkim),26.937048,88.472588,625.02,46.8,1.59,49.9
