sensor_id,highway,latitude,longitude,time_interval,surface_displacement_mm,pore_water_pressure_kpa,micro_vibration_hz,sensor_health,alarm_status
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,01:00 Hrs,2.37,47.0,4.6,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,02:00 Hrs,0.85,51.3,10.6,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,03:00 Hrs,0.92,52.7,1.8,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,04:00 Hrs,1.75,86.5,4.1,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,05:00 Hrs,3.49,51.4,10.2,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,06:00 Hrs,3.67,36.3,6.3,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,07:00 Hrs,0.48,47.1,10.2,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,08:00 Hrs,1.5,50.6,11.2,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,09:00 Hrs,3.7,86.0,3.2,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,10:00 Hrs,0.7,29.7,7.3,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,11:00 Hrs,3.12,61.7,4.5,ONLINE_100%,NORMAL
IOT-SKM-101,NH-10 (Kalijhora),26.9389,88.468,12:00 Hrs,0.68,53.9,9.3,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,01:00 Hrs,0.41,30.7,9.7,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,02:00 Hrs,4.6,72.8,12.0,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,03:00 Hrs,1.19,71.5,7.1,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,04:00 Hrs,1.16,94.4,4.4,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,05:00 Hrs,3.63,72.4,9.8,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,06:00 Hrs,1.51,49.9,11.0,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,07:00 Hrs,1.54,39.1,10.4,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,08:00 Hrs,2.23,80.6,6.3,ONLINE_100%,CRITICAL_MOVEMENT
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,09:00 Hrs,0.69,49.6,12.6,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,10:00 Hrs,0.27,29.3,3.8,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,11:00 Hrs,2.5,31.2,13.4,ONLINE_100%,NORMAL
IOT-SKM-102,NH-10 (29th Mile),27.021,88.482,12:00 Hrs,2.8,45.0,2.0,ONLINE_100%,NORMAL
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,01:00 Hrs,2.52,90.3,7.3,ONLINE_100%,CRITICAL_MOVEMENT
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,02:00 Hrs,1.13,92.2,2.1,ONLINE_100%,CRITICAL_MOVEMENT
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,03:00 Hrs,0.81,46.3,11.6,ONLINE_100%,NORMAL
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,04:00 Hrs,0.61,44.4,12.3,ONLINE_100%,NORMAL
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,05:00 Hrs,3.41,68.1,6.9,ONLINE_100%,NORMAL
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,06:00 Hrs,4.58,75.3,3.4,ONLINE_100%,CRITICAL_MOVEMENT
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,07:00 Hrs,2.43,90.4,13.0,ONLINE_100%,CRITICAL_MOVEMENT
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,08:00 Hrs,0.42,64.4,3.1,ONLINE_100%,NORMAL
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,09:00 Hrs,4.61,65.6,13.9,ONLINE_100%,CRITICAL_MOVEMENT
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,10:00 Hrs,4.65,86.5,4.6,ONLINE_100%,CRITICAL_MOVEMENT
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,11:00 Hrs,2.44,60.7,9.0,ONLINE_100%,NORMAL
IOT-NGL-201,NH-29 (Dzüdza),25.689,93.992,12:00 Hrs,4.62,48.1,8.8,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,01:00 Hrs,2.29,62.0,2.0,ONLINE_100%,NORMAL
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,02:00 Hrs,2.54,78.0,8.7,ONLINE_100%,NORMAL
