point_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,lithology_factor,fault_dist_km,river_dist_km,ndvi,soil_thickness_m,rain_24h_mm,rain_72h_ari_mm,soil_moisture_pct,factor_of_safety,landslide_occurred,hazard_severity
PT-0001,Nagaland,25.11001,93.72004,2728,41.05,346,0.95,4.47,1.34,0.33,1.21,46.1,153.7,81.0,1.7,1,HIGH
PT-0002,Manipur,24.92453,94.12712,2092,38.31,81,0.93,4.04,0.43,0.5,1.74,5.1,159.9,81.2,1.35,1,HIGH
PT-0003,Sikkim,27.60568,88.64347,2212,49.21,282,0.84,4.48,1.96,0.32,1.42,54.1,196.7,93.1,1.36,1,SEVERE
PT-0004,Assam (Dima Hasao),25.60978,92.86615,2216,21.39,83,0.83,4.59,0.66,0.64,2.43,12.7,148.0,74.2,1.9,0,LOW
PT-0005,Manipur,24.98394,94.53047,1901,36.0,166,0.96,6.74,0.58,0.38,1.69,11.8,182.4,88.9,1.39,0,LOW
PT-0006,Arunachal Pradesh,27.23515,91.84908,2007,52.06,73,0.77,2.21,1.28,0.28,2.29,23.0,74.2,66.3,1.02,0,MODERATE
PT-0007,Tripura,23.42909,91.30654,2022,34.14,348,0.61,6.16,0.9,0.54,2.16,43.7,60.6,60.5,1.42,0,LOW
PT-0008,Mizoram,24.04232,92.51821,2397,38.81,1,0.96,8.02,0.65,0.43,1.39,44.2,108.4,70.2,1.64,0,LOW
PT-0009,Assam (Dima Hasao),24.75341,93.32501,1876,22.37,271,0.94,6.28,1.13,0.5,1.8,41.3,95.8,63.5,2.26,0,LOW
PT-0010,Nagaland,25.18278,93.97319,2414,50.5,64,0.83,4.11,1.25,0.29,2.92,11.9,115.9,72.8,0.86,1,HIGH
PT-0011,Assam (Dima Hasao),25.42554,92.88879,1726,31.57,264,0.85,4.71,0.23,0.41,2.22,0.4,132.2,69.7,1.43,0,LOW
PT-0012,Nagaland,26.1665,94.42156,2276,43.99,342,0.9,4.44,1.62,0.44,2.27,32.0,114.2,66.1,1.11,0,MODERATE
PT-0013,Manipur,25.08516,93.91332,2041,39.64,334,0.98,3.26,0.95,0.39,2.9,10.5,99.5,66.1,1.04,0,MODERATE
PT-0014,Mizoram,23.67515,93.15938,2490,52.13,281,0.79,5.44,1.24,0.24,1.21,15.6,97.7,66.3,1.65,0,LOW
PT-0015,Manipur,25.74293,93.61756,2134,45.46,232,0.85,5.98,1.63,0.42,2.46,10.5,61.4,54.1,1.1,0,MODERATE
PT-0016,Sikkim,27.62757,88.0686,2061,34.34,271,0.81,10.1,0.27,0.41,2.31,15.6,50.4,60.0,1.37,0,LOW
PT-0017,Assam (Dima Hasao),25.2647,92.45769,2277,44.55,289,0.86,10.82,0.53,0.41,1.53,55.7,120.2,69.6,1.42,0,LOW
PT-0018,Nagaland,25.09118,94.13539,2103,35.82,275,0.84,3.27,2.06,0.51,2.93,8.6,161.2,82.5,1.02,0,MODERATE
PT-0019,Sikkim,27.53144,88.66552,2201,45.19,68,0.83,7.51,1.66,0.32,1.62,21.0,149.4,81.4,1.3,1,HIGH
PT-0020,Tripura,23.62135,92.33979,1865,36.1,141,0.54,7.01,0.37,0.53,1.36,61.2,168.7,78.2,1.69,0,LOW
PT-0021,Meghalaya,25.16471,92.76151,1961,32.31,65,0.74,4.33,2.06,0.56,1.09,57.3,182.3,83.6,2.11,0,LOW
PT-0022,Manipur,25.8286,94.31937,2014,42.92,83,0.98,7.16,1.95,0.32,2.62,133.5,280.9,98.0,0.88,1,SEVERE
PT-0023,Assam (Dima Hasao),24.89017,93.35485,2470,46.84,240,0.8,8.24,1.07,0.33,2.75,1.2,48.1,53.9,1.01,0,MODERATE
PT-0024,Nagaland,26.24027,93.72495,1890,34.22,274,0.87,2.57,1.94,0.43,2.28,6.7,120.1,69.9,1.31,0,LOW
PT-0025,Arunachal Pradesh,27.50367,92.43108,2838,56.02,97,0.77,4.58,0.1,0.35,2.18,38.4,164.1,79.7,1.01,0,MODERATE
PT-0026,Nagaland,26.21865,94.49493,1804,31.08,63,0.94,3.39,0.75,0.48,1.89,6.8,91.2,69.5,1.59,0,LOW
PT-0027,Meghalaya,25.24862,92.12114,2057,35.8,146,0.77,7.05,1.37,0.42,1.97,28.0,174.0,87.9,1.26,0,LOW
PT-0028,Meghalaya,25.30062,92.10054,1643,30.63,47,0.89,6.68,1.51,0.45,1.44,14.0,107.4,72.1,1.88,0,LOW
PT-0029,Nagaland,25.6265,94.45336,1909,28.38,196,0.9,3.2,1.48,0.43,2.65,9.8,94.9,62.6,1.49,0,LOW
PT-0030,Tripura,23.38026,91.54904,1394,30.8,237,0.66,17.03,1.35,0.57,2.96,37.4,135.7,78.2,1.19,0,MODERATE
PT-0031,Tripura,24.39665,92.14239,1752,20.26,126,0.7,6.81,1.73,0.58,1.53,62.5,116.2,68.9,2.65,0,LOW
PT-0032,Nagaland,25.24605,93.66751,1650,34.95,32,0.88,3.5,1.08,0.39,2.83,73.4,244.5,94.0,0.99,1,SEVERE
PT-0033,Manipur,25.23238,94.55129,2461,35.76,214,0.9,6.32,1.78,0.52,2.07,33.2,112.4,71.4,1.33,0,LOW
PT-0034,Manipur,25.52902,94.42861,1653,56.44,273,0.8,4.25,1.29,0.2,2.41,31.0,54.3,55.7,1.01,0,MODERATE
PT-0035,Assam (Dima Hasao),25.11564,92.815,1831,39.41,215,0.81,4.21,0.14,0.43,3.2,52.5,196.4,89.7,0.86,1,SEVERE
PT-0036,Sikkim,27.86953,88.23923,2295,46.28,64,0.87,2.3,2.09,0.36,1.56,46.6,220.6,95.7,1.26,1,SEVERE
PT-0037,Meghalaya,25.66766,91.88972,2108,42.4,346,0.91,4.38,2.08,0.35,2.3,15.9,145.9,75.1,1.09,0,MODERATE
PT-0038,Nagaland,26.03547,94.06912,2275,47.95,338,0.87,4.26,0.82,0.41,2.81,161.9,281.8,98.0,0.79,1,SEVERE
PT-0039,Meghalaya,25.03258,92.64055,2000,41.81,275,0.88,4.76,1.83,0.42,1.71,136.4,197.4,87.9,1.27,1,SEVERE
PT-0040,Tripura,24.00382,92.05183,2059,21.48,166,0.57,6.6,1.78,0.55,2.94,17.4,34.1,57.0,1.93,0,LOW
PT-0041,Nagaland,25.36963,93.87771,2076,33.77,243,0.93,4.19,1.77,0.4,1.49,18.8,129.8,73.3,1.7,0,LOW
PT-0042,Arunachal Pradesh,27.4906,92.14512,2816,38.32,138,0.78,2.16,1.61,0.4,2.63,36.1,82.7,65.6,1.13,0,MODERATE
PT-0043,Mizoram,23.9895,93.28193,2155,33.96,51,0.94,3.68,0.86,0.44,2.56,2.3,26.3,48.7,1.39,0,LOW
PT-0044,Meghalaya,25.27544,92.66335,2093,36.94,145,0.82,4.65,0.49,0.37,3.07,86.3,167.4,77.6,1.0,0,MODERATE
PT-0045,Sikkim,26.91207,88.97337,2223,45.0,127,0.8,5.61,1.37,0.42,1.5,29.9,117.9,74.5,1.41,0,LOW
PT-0046,Manipur,25.02646,94.16523,1764,28.5,106,0.92,3.77,0.27,0.47,2.21,26.3,155.0,78.8,1.49,0,LOW
PT-0047,Sikkim,27.00777,88.84835,1901,39.6,351,0.83,2.77,1.76,0.43,2.77,6.1,58.2,54.3,1.14,0,MODERATE
PT-0048,Mizoram,24.11196,92.19569,2459,43.24,291,0.95,4.25,1.08,0.36,1.89,38.8,126.0,73.7,1.23,0,MODERATE
PT-0049,Manipur,25.54144,94.14446,2170,43.34,345,0.96,5.14,2.1,0.47,2.48,2.1,141.9,75.9,1.02,0,MODERATE
PT-0050,Tripura,24.41929,91.46779,1456,16.85,251,0.72,7.59,0.96,0.58,1.23,26.5,123.3,73.8,3.0,0,LOW
PT-0051,Manipur,25.63628,94.08012,2215,31.74,165,0.81,6.7,1.92,0.54,1.0,25.8,49.7,56.1,2.49,0,LOW
PT-0052,Tripura,24.07049,92.16199,2133,28.72,147,0.62,9.0,0.35,0.59,2.34,8.6,114.5,70.7,1.5,0,LOW
PT-0053,Nagaland,25.34964,94.39969,2719,52.75,331,0.97,4.22,1.6,0.31,1.6,49.1,104.3,68.5,1.32,0,LOW
PT-0054,Manipur,24.88873,94.13925,1940,37.91,35,0.85,6.9,0.97,0.5,2.12,17.7,82.0,63.9,1.3,0,LOW
PT-0055,Tripura,24.35831,91.78586,1740,19.29,278,0.61,12.75,1.93,0.67,1.53,96.9,179.7,82.7,2.59,0,LOW
PT-0056,Tripura,24.16627,92.22369,2049,17.65,333,0.73,7.71,0.18,0.6,2.3,44.3,132.0,74.3,2.34,0,LOW
PT-0057,Tripura,23.33842,91.42299,1038,39.68,38,0.62,14.7,0.81,0.45,2.43,43.4,200.2,87.8,1.03,1,SEVERE
PT-0058,Arunachal Pradesh,27.73216,92.31493,2373,34.67,316,0.73,3.99,2.03,0.54,2.64,5.2,124.8,76.2,1.16,0,MODERATE
PT-0059,Tripura,23.51964,91.60936,1766,32.53,28,0.59,7.17,0.41,0.48,2.25,12.6,40.6,57.6,1.47,0,LOW
PT-0060,Assam (Dima Hasao),25.1672,93.10979,2520,36.19,235,0.81,4.02,1.79,0.51,2.49,29.1,101.1,68.1,1.21,0,MODERATE
PT-0061,Manipur,25.48838,93.9682,3402,28.73,247,0.81,4.2,0.85,0.48,2.54,88.6,168.9,77.2,1.38,0,LOW
PT-0062,Sikkim,27.82274,88.89421,1614,50.06,117,0.9,3.09,1.44,0.35,2.49,34.7,188.0,87.6,0.9,1,SEVERE
PT-0063,Sikkim,27.10072,88.52899,1997,31.31,46,0.96,2.99,0.97,0.44,2.73,21.5,119.3,69.0,1.3,0,LOW
PT-0064,Meghalaya,24.81836,92.74963,2132,22.5,173,0.89,4.78,0.26,0.6,1.5,35.3,115.9,74.0,2.38,0,LOW
PT-0065,Arunachal Pradesh,27.08836,91.72349,2519,43.65,188,0.85,4.29,1.33,0.44,3.07,13.3,32.4,56.0,0.99,1,HIGH
PT-0066,Arunachal Pradesh,28.07831,91.51564,2592,56.89,358,0.78,2.81,0.39,0.35,1.67,5.1,166.5,78.0,1.26,0,LOW
PT-0067,Tripura,23.76521,92.38926,1298,22.92,300,0.68,6.42,0.97,0.49,2.08,151.3,171.7,81.5,1.85,0,LOW
PT-0068,Tripura,23.85364,91.53334,2458,12.27,188,0.64,15.52,0.85,0.63,1.42,94.2,184.2,87.2,3.0,0,LOW
PT-0069,Sikkim,26.79069,88.40021,2226,55.16,105,0.79,5.62,0.54,0.24,2.91,8.0,171.6,77.8,0.82,1,SEVERE
PT-0070,Meghalaya,25.69503,92.40826,1898,37.09,13,0.76,4.31,1.76,0.46,1.03,6.8,91.3,61.2,2.15,0,LOW
PT-0071,Nagaland,25.6515,94.32362,2151,35.41,257,0.84,4.89,1.63,0.52,2.45,51.5,71.6,65.7,1.26,0,LOW
PT-0072,Manipur,25.17153,93.54955,1761,36.1,41,0.85,3.4,0.37,0.47,2.29,22.1,135.7,72.8,1.24,0,MODERATE
PT-0073,Manipur,24.77901,94.26214,1724,44.55,282,0.93,3.61,1.05,0.34,1.75,26.9,57.6,56.9,1.36,0,LOW
PT-0074,Mizoram,23.56916,92.29317,2139,42.48,43,0.79,3.05,1.65,0.45,2.22,41.2,110.6,65.6,1.16,0,MODERATE
PT-0075,Arunachal Pradesh,28.02833,92.37936,2702,29.23,26,0.91,3.79,0.84,0.52,1.47,15.1,48.0,59.0,2.04,0,LOW
PT-0076,Arunachal Pradesh,27.11786,91.58428,2706,45.19,287,0.91,5.77,1.39,0.4,1.06,42.3,101.4,64.1,1.89,0,LOW
PT-0077,Mizoram,24.22585,92.53123,2376,41.74,336,0.85,3.18,1.43,0.33,2.64,27.2,98.4,65.3,1.06,0,MODERATE
PT-0078,Arunachal Pradesh,27.9122,91.93111,2398,46.12,80,0.87,1.63,0.27,0.36,1.93,23.6,74.2,61.4,1.23,0,MODERATE
PT-0079,Arunachal Pradesh,27.4959,91.5899,1975,40.24,341,0.78,2.12,2.17,0.34,1.45,39.5,180.6,82.6,1.49,1,SEVERE
PT-0080,Nagaland,25.08928,94.28642,2470,42.3,117,0.9,6.98,1.79,0.33,2.9,0.9,167.9,85.6,0.89,1,SEVERE
PT-0081,Manipur,25.34808,94.2714,2215,34.77,10,0.98,3.47,2.09,0.45,2.52,28.7,61.2,57.8,1.31,0,LOW
PT-0082,Manipur,25.28876,93.89492,2426,35.47,170,0.95,3.2,1.43,0.46,1.43,20.8,193.9,89.1,1.58,0,LOW
PT-0083,Meghalaya,24.79352,91.93573,2509,39.31,335,0.75,10.75,1.42,0.42,2.24,57.1,217.6,94.3,1.05,1,SEVERE
